ticker,period,leverage,financing_rate,net_interest_margin,swap_notional,unrestricted_cash,common_pref_equity_ratio,buybacks,issuance,common_equity,preferred_equity,total_liabilities
ADAM,2021-03-31,,,2.02,,4726174.0,,,,,,
ADAM,2021-06-30,,,2.57,,4780927.0,,,96267.0,,,
ADAM,2021-09-30,,,2.86,,408785.0,,,96267.0,,,
ADAM,2021-12-31,0.4,,3.07,,452.0,,,96267.0,,,
ADAM,2022-03-31,0.5,,3.87,,303762.0,,,508819.0,,,
ADAM,2022-06-30,0.7,,3.48,,407104.0,,,96267.0,,,
ADAM,2022-09-30,0.5,,2.18,,355276.0,,,96267.0,,,
ADAM,2022-12-31,0.3,,2.47,,21129.0,,,96267.0,,,
ADAM,2023-03-31,0.4,,0.41,,227753.0,,,508819.0,,,
ADAM,2023-06-30,0.7,,0.48,,232497.0,,,508819.0,,,
ADAM,2023-09-30,1.3,,0.9,,228333.0,,,741720.0,,,
ADAM,2023-12-31,1.6,,0.74,,1300.0,,,96267.0,,,
ADAM,2024-03-31,1.7,,1.31,,226939.0,,,500543.0,,,
ADAM,2024-06-30,1.6,,1.33,,235514.0,,,60000.0,,,
ADAM,2024-09-30,1.6,,1.32,,195066.0,,,60000.0,,,
ADAM,2024-12-31,,,1.33,,392.0,,,60000.0,,,
ADAM,2025-03-31,3.0,,1.32,,177072.0,,,82500.0,,,
ADAM,2025-06-30,3.0,,1.5,,160447.0,,,82140.0,,,
ADAM,2025-09-30,3.0,,1.5,,185285.0,,,193505.0,,,
ADAM,2025-12-31,3.0,,1.46,,284.0,,,193505.0,,,
AGNC,2021-03-31,8.0,0.02,2.0,31.0,963.0,,-15.0,26.7,,,
AGNC,2021-06-30,7.6,0.06,2.09,30.0,947.0,,-12.2,26.7,,,
AGNC,2021-09-30,7.5,0.03,2.19,30.0,981.0,,-10.3,26.7,,,
AGNC,2021-12-31,7.7,0.01,2.11,48634.0,998.0,,-6.9,11.4,,,
AGNC,2022-03-31,7.8,0.09,2.19,31.0,1004.0,,-15.0,,,,
AGNC,2022-06-30,7.8,0.18,2.7,30.0,906.0,,-4.7,4.1,,,
AGNC,2022-09-30,8.1,0.5,2.81,30.0,976.0,,-15.0,28.6,,,
AGNC,2022-12-31,7.8,0.4,2.6,49334.0,1018.0,,-28.2,26.7,,,
AGNC,2023-03-31,7.7,1.02,2.88,31.0,975.0,,,17.1,,,
AGNC,2023-06-30,7.2,0.63,3.26,30.0,716.0,,-4.7,4.1,,,
AGNC,2023-09-30,7.5,1.17,3.03,30.0,493.0,,-4.7,28.6,,,
AGNC,2023-12-31,7.4,1.05,3.06,47012.0,518.0,,-17.7,56.0,,,
AGNC,2024-03-31,7.0,1.58,2.98,43903.0,505.0,,,17.1,,,
AGNC,2024-06-30,7.2,2.0,2.69,45263.0,530.0,,,10.7,,,
AGNC,2024-09-30,7.2,2.52,2.21,44781.0,507.0,,,44.7,,,
AGNC,2024-12-31,7.2,2.28,2.42,43351.0,505.0,,-4.7,56.0,,,
AGNC,2025-03-31,7.3,2.75,2.12,44179.0,455.0,,,25.1,,,
AGNC,2025-06-30,7.5,2.86,2.01,45849.0,656.0,,,45.8,,,
AGNC,2025-09-30,7.5,3.17,1.78,45656.0,450.0,,,78.1,,,
AGNC,2025-12-31,7.4,2.98,1.92,48921.0,450.0,,,118.8,,,
ARR,2021-03-31,,,,,,,,4400.0,,,
ARR,2021-06-30,,,,,,,,17691.0,,,
ARR,2021-09-30,,,,,,,,22242.0,,,
ARR,2021-12-31,,,,,,,,16064.0,,,
ARR,2022-03-31,,,,,,,,6162.0,,,
ARR,2022-06-30,,,,,,,,16587.0,,,
ARR,2022-09-30,,,,,,,,4551.0,,,
ARR,2022-12-31,,,,,,,,6287.0,,,
ARR,2023-03-31,,,,,,,,6162.0,,,
ARR,2023-06-30,,,,,,,,10425.0,,,
ARR,2023-09-30,,,,,,,,4546.0,,,
ARR,2023-12-31,,,0.47,,435113.0,,,5726.0,,,
ARR,2024-03-31,,,0.47,,221297.0,,,5973.0,,,
ARR,2024-06-30,,,0.52,,126562.0,,,3032.0,,,
ARR,2024-09-30,,,0.62,,63855.0,,,7630.0,,,
ARR,2024-12-31,,,0.43,,540056.0,,,14008.0,,,
ARR,2025-03-31,,,0.49,,49115.0,,,1.0,,,
ARR,2025-06-30,,,0.36,,141166.0,,,1.0,,,
ARR,2025-09-30,,,0.42,,44238.0,,,6415.0,,,
ARR,2025-12-31,,,0.51,,1110550.0,,,16636.0,,,
CMTG,2021-09-30,1.8,,,,235596.0,,,584767.0,,,
CMTG,2021-12-31,1.7,,,,4424629.0,,,27311819.0,,,
CMTG,2022-03-31,1.9,,,,444001.0,,3179.0,,,,
CMTG,2022-06-30,1.9,,,,461002.0,,3771.0,584767.0,,,
CMTG,2022-09-30,2.0,,,,225556.0,,13863.0,584767.0,,,
CMTG,2022-12-31,2.2,,,,5357495.0,,21398.0,3500000.0,,,
CMTG,2023-03-31,2.2,,,,426503.0,,3179.0,,,,
CMTG,2023-06-30,2.3,,,,253055.0,,3771.0,,,,
CMTG,2023-09-30,2.3,,,,307367.0,,13863.0,,,,
CMTG,2023-12-31,2.4,,,,187.3,,21398.0,7206994.0,,,
CMTG,2024-03-31,2.4,,,,232514.0,,,,,,
CMTG,2024-06-30,2.4,,,,148212.0,,,209076.0,,,
CMTG,2024-09-30,2.4,,,,113920.0,,,617300.0,,,
CMTG,2024-12-31,2.4,,,,2008086.0,,21398.0,617300.0,,,
CMTG,2025-03-31,2.4,,,,127829.0,,,,,,
CMTG,2025-06-30,2.2,,,,209204.0,,,459344.0,,,
CMTG,2025-09-30,1.9,,,,339518.0,,,856107.0,,,
CMTG,2025-12-31,1.9,,,,1531895.0,,,856107.0,,,
DX,2021-03-31,,,1.87,,528.6,,,107988.0,,,
DX,2021-06-30,,,1.87,,517.9,,,107988.0,,,
DX,2021-09-30,,,1.93,,559.7,,,107988.0,,,
DX,2021-12-31,,,2.0,,7.0,,,107843.0,,,
DX,2022-03-31,,,1.86,,31.0,,,4245.0,,,
DX,2022-06-30,,,1.5,,30.0,,,109444.0,,,
DX,2022-09-30,,,0.23,,260385.0,,,154483.0,,,
DX,2022-12-31,,,0.84,,332035.0,,,107843.0,,,
DX,2023-03-31,,,1.62,,279028.0,,,2771.0,,,
DX,2023-06-30,,,1.62,,300108.0,,,6314.0,,,
DX,2023-09-30,,,1.25,,271168.0,,,36676.0,,,
DX,2023-12-31,,,1.41,,119639.0,,,42626.0,,,
DX,2024-03-31,,,1.15,,295715.0,,,86806.0,,,
DX,2024-06-30,,,1.01,,286132.0,,,211650.0,,,
DX,2024-09-30,,,0.86,,268296.0,,,267891.0,,,
DX,2024-12-31,,,0.81,,377099.0,,,332317.0,,,
DX,2025-03-31,,,0.15,,327447.0,,,239658.0,,,
DX,2025-06-30,,,0.33,,387520.0,,,521807.0,,,
DX,2025-09-30,,,0.46,,490989.0,,,775946.0,,,
DX,2025-12-31,,,0.47,,531043.0,,,1169278.0,,,
IVR,2021-03-31,6.1,0.08,1.8,,198357.0,,,43150000.0,,,
IVR,2021-06-30,6.2,0.16,2.12,,134664.0,,,43150000.0,,,
IVR,2021-09-30,5.8,0.17,2.15,,189528.0,,,43150000.0,,,
IVR,2021-12-31,5.4,0.14,2.06,,250000.0,,,32640260.0,,,
IVR,2022-03-31,5.6,0.14,2.55,,251724.0,,,43150000.0,,,
IVR,2022-06-30,3.7,0.34,3.48,,202182.0,,,4315000.0,,,
IVR,2022-09-30,5.6,1.84,2.51,,163590.0,,,2327805.0,,,
IVR,2022-12-31,5.6,1.15,2.64,,250000.0,,,4254974.0,,,
IVR,2023-03-31,6.1,4.2,1.08,,101834.0,,,2930069.0,,,
IVR,2023-06-30,6.2,4.93,0.48,,209036.0,,,2930069.0,,,
IVR,2023-09-30,6.6,5.36,0.11,,173921.0,,,2930069.0,,,
IVR,2023-12-31,5.8,5.03,0.41,,250000.0,,,12646902.0,,,
IVR,2024-03-31,6.1,5.57,0.05,,59890.0,,,365838.0,,,
IVR,2024-06-30,6.0,5.59,0.02,,58775.0,,,365838.0,,,
IVR,2024-09-30,5.7,5.3,0.01,,48254.0,,,365838.0,,,
IVR,2024-12-31,6.7,5.39,0.11,,250000.0,,,5686598.0,,,
IVR,2025-03-31,7.1,4.46,0.99,,42894.0,,,4212057.0,,,
IVR,2025-06-30,6.5,4.62,0.94,,59396.0,,,4212057.0,,,
IVR,2025-09-30,6.7,4.52,0.9,,58539.0,,,4212057.0,,,
IVR,2025-12-31,7.0,4.44,0.99,,250000.0,,,9699471.0,,,
MFA,2021-03-31,2.0,,2.46,,780.7,,-20933.0,559.0,,,
MFA,2021-06-30,2.0,,3.86,,906.4,,-48075.0,559.0,,,
MFA,2021-09-30,2.0,,3.7,,526.2,,-48075.0,559.0,,,
MFA,2021-12-31,2.0,,3.58,,99.8,,-85591.0,1152.0,,,
MFA,2022-03-31,2.0,,2.63,,410.9,,-54799.0,150.0,,,
MFA,2022-06-30,2.0,,2.13,,385.6,,-102311.0,150.0,,,
MFA,2022-09-30,2.0,,2.43,,434.1,,-102311.0,150.0,,,
MFA,2022-12-31,2.0,,2.52,,159.9,,-102311.0,197.0,,,
MFA,2023-03-31,2.0,,2.64,,362.5,,-54799.0,168.0,,,
MFA,2023-06-30,2.0,,2.99,,329.4,,-102311.0,168.0,,,
MFA,2023-09-30,2.0,,3.02,,300.1,,-102311.0,168.0,,,
MFA,2023-12-31,2.0,,2.9,,170.2,,-102311.0,172.0,,,
MFA,2024-03-31,2.0,,2.88,,306.3,,-1491.0,297.0,,,
MFA,2024-06-30,2.0,,3.01,,289.4,,-1491.0,297.0,,,
MFA,2024-09-30,2.0,,3.0,,305.6,,-1491.0,297.0,,,
MFA,2024-12-31,2.0,,2.91,,262.4,,-1491.0,298.0,,,
MFA,2025-03-31,2.0,,2.63,,253.7,,-5189.0,1081.0,,,
MFA,2025-06-30,2.0,,2.73,,275.7,,-5189.0,1081.0,,,
MFA,2025-09-30,2.0,,2.57,,305.2,,-10266.0,1081.0,,,
MFA,2025-12-31,2.0,,2.55,,173.5,,-15313.0,1100.0,,,
MITT,2024-03-31,10.8,5.21,0.92,454.0,116634.0,,-923.0,32763.0,,,
MITT,2024-06-30,12.2,5.2,0.84,818.0,148434.0,,-187.0,95217.0,,,
MITT,2024-09-30,11.8,5.31,0.68,305.0,114218.0,,-1110.0,95217.0,,,
MITT,2024-12-31,11.6,5.34,0.79,343.0,138568.0,,-1110.0,95217.0,,,
MITT,2025-03-31,12.4,5.35,0.78,333.0,129217.0,,,32763.0,,,
MITT,2025-06-30,12.8,5.39,0.72,345.0,100169.0,,,95217.0,,,
MITT,2025-09-30,14.9,5.44,0.74,425.0,76808.0,,,2028.0,,,
MITT,2025-12-31,14.4,5.41,0.73,396.0,50.0,,,2028.0,,,
NLY,2021-03-31,4.6,,3.39,,957266.0,,,251379.0,,,
NLY,2021-06-30,4.7,,1.66,,1207566.0,,-228.0,969165.0,,,
NLY,2021-09-30,4.4,19.0,2.01,,896255.0,,-49.0,2005080.0,,,
NLY,2021-12-31,10.0,18.0,2.28,,1222505.0,,-324.0,3719027.0,,,
NLY,2022-03-31,5.3,17.0,3.2,,830546.0,,,2293500.0,,,
NLY,2022-06-30,5.4,23.0,2.64,,653657.0,,,3946614.0,,,
NLY,2022-09-30,5.8,22.0,1.42,,1169631.0,,,4876814.0,,,
NLY,2022-12-31,10.0,17.0,1.92,,1424160.0,,-80.0,5473311.0,,,
NLY,2023-03-31,5.9,13.0,0.09,,1638172.0,,,1007971.0,,,
NLY,2023-06-30,6.1,,0.15,,1060005.0,,,2355559.0,,,
NLY,2023-09-30,7.1,,0.2,,866501.0,,,3116654.0,,,
NLY,2023-12-31,10.0,94.0,0.13,,1136298.0,,,4480804.0,,,
NLY,2024-03-31,6.7,,0.03,,1367057.0,,,2496810.0,,,
NLY,2024-06-30,7.1,,0.24,,1266528.0,,,5158091.0,,,
NLY,2024-09-30,6.9,,0.06,,1235942.0,,,8236251.0,,,
NLY,2024-12-31,10.0,,0.26,,1202880.0,,,10330083.0,,,
NLY,2025-03-31,6.8,,0.87,,1536590.0,,,2914309.0,,,
NLY,2025-06-30,7.1,,1.04,,1791768.0,,,6303865.0,,,
NLY,2025-09-30,7.1,,0.97,,1776349.0,,,10220521.0,,,
NLY,2025-12-31,10.0,,1.02,,1683059.0,,,14589254.0,,,
REFI,2024-03-31,,,,,6904113.0,,,896443.0,,,
REFI,2024-06-30,,,,,7070883.0,,,410360.0,,,
REFI,2024-09-30,,,,,6760433.0,,,2700.0,,,
REFI,2024-12-31,,,,,26400448.0,,,79862.0,,,
REFI,2025-03-31,,,,,9879177.0,,,64557.0,,,
REFI,2025-06-30,,,,,35562084.0,,,-10.0,,,
REFI,2025-09-30,,,,,28920537.0,,,68670.0,,,
REFI,2025-12-31,,,,,14948884.0,,,2489290.0,,,
TWO,2024-03-31,6.0,6.3,,,50366.0,,,102.0,,,
TWO,2024-06-30,6.8,6.2,0.8,,50366.0,,-6.0,102.0,,,
TWO,2024-09-30,7.0,6.2,1.1,,50366.0,,-6.0,102.0,,,
TWO,2024-12-31,6.5,5.8,1.0,,5.4,,-6.0,0.2,,,
TWO,2025-03-31,6.2,5.3,,,573882.0,,,54.0,,,
TWO,2025-06-30,7.0,5.2,0.8,,657816.0,,,82.0,,,
TWO,2025-09-30,7.2,5.4,1.1,,770533.0,,,82.0,,,
TWO,2025-12-31,7.0,5.1,0.7,,6.5,,-6.0,0.4,,,
